hosp_id,hosp_name,hosp_type,hosp_network_status,hosp_registration_number,hosp_insurer_hospital_id,hosp_tpa_hospital_id,hosp_pan,hosp_address_line_1,hosp_address_line_2,hosp_address_line_3,hosp_landmark,hosp_city,hosp_district,hosp_state,hosp_country,hosp_pin_code,hosp_latitude,hosp_longitude,hosp_contact_number,hosp_email,hosp_website,hosp_primary_specialty,hosp_secondary_specialty,hosp_total_beds,hosp_emergency_services,hosp_cashless_facility_flag,hosp_opd_facility_flag,hosp_lab_facility_flag,hosp_pharmacy_facility_flag,hosp_ambulance_facility_flag,hosp_operating_theaters,hosp_blood_bank_flag,hosp_cardiac_unit_flag,hosp_neurology_unit_flag,hosp_orthopedic_unit_flag,hosp_oncology_unit_flag,hosp_pediatrics_unit_flag,hosp_maternity_unit_flag,hosp_inspection_date,hosp_inspection_status,hosp_license_expiry_date,hosp_area,hosp_susp_flag,hosp_non_pref_flag,hosp_defunct_flag,hosp_gross_med_negligence_ind,hosp_total_icu_beds,hosp_total_ventilators,hosp_susp_flag_date
HOSP-0011,Deo Care,Private,Network,MHMC-71315,INS-HOSP-6074,TPA-HOSP-926,KDDPO9614E,47/83 Sengupta Path,Sawhney Nagar,Meerut,Opposite Park,New Delhi,New Delhi,Delhi,India,110054,28.665668,77.132988,03076386633,indranil21@kaur.info,www.bandi-solanki.com,General Surgery,Neurology,565,Yes,Yes,Yes,Yes,Yes,Yes,7,No,Yes,No,No,No,No,No,2024-09-18,Passed,2028-05-27,Urban,No,No,No,0,56,28,
HOSP-0012,Saha Medical Center,Private,Network,MHMC-56058,INS-HOSP-5196,TPA-HOSP-968,EIUUH3893C,H.No. 88 Dhawan Ganj,Soni,Ludhiana,Near Metro Station,Mumbai,Mumbai,Maharashtra,India,452223,18.926519,72.974631,06198209591,aayushsubramanian@bakshi.com,www.dass-bhandari.biz,General Medicine,Orthopedics,533,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,No,No,Yes,Yes,Yes,2024-10-18,Passed,2026-02-28,Urban,No,No,No,0,53,26,
HOSP-0013,Vig Care,Private,Non-Network,MHMC-89904,INS-HOSP-6962,TPA-HOSP-875,KUGYK1838S,H.No. 893- Subramaniam Path,Dasgupta Zila,Katni,Opposite Park,Coimbatore,Coimbatore,Tamil Nadu,India,666628,11.030491,77.013209,03995476606,anneuthkarsh@sridhar.com,www.kohli-ram.com,General Surgery,General Medicine,643,Yes,Yes,Yes,No,Yes,Yes,7,No,Yes,Yes,No,No,Yes,Yes,2025-05-10,Pending,2028-04-17,Rural,Yes,No,No,0,64,32,2025-06-08
HOSP-0014,Kala Care,Private,Network,MHMC-48266,INS-HOSP-1916,TPA-HOSP-146,IPHFH1303I,01- Bala Circle,Bhagat Road,Karaikudi,Near Metro Station,Pune,Pune,Maharashtra,India,492237,18.465565,73.914298,+918066298653,vidur53@chaudry-deep.biz,www.gill.info,Cardiology,Neurology,907,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,No,Yes,No,No,No,Yes,2025-05-16,Pending,2026-03-17,Rural,No,No,No,0,90,45,
HOSP-0015,Kala Care,Trust,Network,MHMC-18379,INS-HOSP-8835,TPA-HOSP-342,HKYAE8888T,H.No. 84- Dave Street,Hora Nagar,Jamnagar,Behind Mall,Pune,Pune,Maharashtra,India,486503,18.418655,73.8374,6497409775,keyamahajan@ghosh-brahmbhatt.net,www.saxena.org,Neurology,General Medicine,393,No,Yes,Yes,Yes,Yes,Yes,1,Yes,No,No,No,Yes,No,No,2025-02-02,Pending,2026-10-04,Urban,No,No,No,0,39,19,
HOSP-0016,Chand Hospital,Government,Non-Network,MHMC-29202,INS-HOSP-6725,TPA-HOSP-288,HWKJM0878I,H.No. 020 Mallick Nagar,Loke Circle,Anantapur,Behind Mall,Coimbatore,Coimbatore,Tamil Nadu,India,664786,10.948781,76.986461,+918809906420,ritvik02@zacharia-banik.com,www.badami-brar.biz,General Surgery,Cardiology,754,Yes,Yes,Yes,Yes,No,Yes,6,No,Yes,No,Yes,No,Yes,Yes,2024-10-16,Passed,2026-10-27,Rural,No,No,No,0,75,37,
HOSP-0017,Ganesan Care,Private,Network,MHMC-46478,INS-HOSP-7762,TPA-HOSP-239,XJFIM0829W,228- Lala Street,Savant Circle,Loni,Behind Mall,Chennai,Chennai,Tamil Nadu,India,680047,12.921316,80.240033,8357506018,aayush17@kumar-kade.com,www.chokshi.org,Neurology,General Surgery,52,Yes,No,Yes,Yes,Yes,Yes,5,Yes,No,Yes,Yes,No,Yes,Yes,2025-04-30,Passed,2027-07-15,Urban,No,No,No,0,5,2,
HOSP-0018,Choudhry Medical Center,Private,Network,MHMC-74831,INS-HOSP-3275,TPA-HOSP-135,BZKTX8750Q,H.No. 369 Sangha Road,Gola Chowk,Bahraich,Near Metro Station,Chennai,Chennai,Tamil Nadu,India,661847,13.073714,80.223384,03955515252,chirag56@lall.com,www.chaudhuri.com,Neurology,,389,Yes,No,Yes,Yes,Yes,Yes,4,Yes,No,No,Yes,No,No,Yes,2025-04-28,Passed,2028-02-12,Urban,No,No,No,0,38,19,
HOSP-0019,Ahuja Medical Center,Private,Network,MHMC-71665,INS-HOSP-4190,TPA-HOSP-373,KZIOH7505Q,410 Khanna Road,Sagar Road,Aurangabad,Behind Mall,Mysore,Mysore,Karnataka,India,572534,12.20127,76.621733,5972541835,kabirchand@chanda-goswami.info,www.sule-dara.net,General Medicine,General Surgery,430,No,Yes,Yes,Yes,Yes,No,10,Yes,Yes,Yes,No,No,No,Yes,2025-06-14,Passed,2028-04-04,Urban,No,No,No,0,43,21,
HOSP-0020,Deshpande Hospital,Private,Network,MHMC-17839,INS-HOSP-9447,TPA-HOSP-194,KLVLW5503B,99/726- Johal,Suresh Street,Ozhukarai,Behind Mall,Pune,Pune,Maharashtra,India,467654,18.554971,73.813337,+915548306693,aaina22@wali.com,www.magar.com,General Surgery,Oncology,953,Yes,No,Yes,Yes,Yes,Yes,18,Yes,Yes,Yes,Yes,Yes,Yes,No,2025-07-02,Passed,2026-10-08,Rural,No,No,No,0,95,47,
HOSP-0021,Babu Medical Center,Government,Network,MHMC-94212,INS-HOSP-9511,TPA-HOSP-783,OIIRV2912T,H.No. 53- Goda,Aurora Path,Maheshtala,Near Metro Station,New Delhi,New Delhi,Delhi,India,110068,28.52435,77.299507,00049043550,kuruvillaakarsh@bhavsar.biz,www.gill-gala.net,General Medicine,Orthopedics,774,Yes,Yes,Yes,Yes,Yes,Yes,20,No,Yes,No,Yes,Yes,Yes,Yes,2025-03-26,Passed,2028-02-24,Rural,No,No,No,0,77,38,
HOSP-0022,Wali Medical Center,Private,Network,MHMC-33371,INS-HOSP-1018,TPA-HOSP-217,EZDSF4152T,H.No. 47 Dara,Tara,Chennai,,Madurai,Madurai,Tamil Nadu,India,669075,9.825348,78.00688,+919932676114,tdash@ahuja.com,www.jha.com,Cardiology,Orthopedics,357,Yes,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,No,No,No,Yes,2024-10-31,Passed,2027-05-24,Rural,No,No,No,0,35,17,
HOSP-0023,Bhandari Medical Center,Private,Network,MHMC-12380,INS-HOSP-3179,TPA-HOSP-248,CQOST1846H,H.No. 09 Chaudhry Street,Sule Marg,Gwalior,,New Delhi,New Delhi,Delhi,India,110016,28.643262,77.140023,01594867580,anayakashyap@jhaveri-buch.com,www.tak-acharya.com,General Surgery,General Medicine,874,Yes,Yes,Yes,Yes,Yes,No,18,Yes,Yes,Yes,No,No,No,No,2024-11-24,Passed,2028-06-14,Rural,No,No,No,0,87,43,
HOSP-0024,Zachariah Medical Center,Private,Network,MHMC-52400,INS-HOSP-4675,TPA-HOSP-184,AMWJR6918H,522- Golla Ganj,Gopal,Jhansi,Opposite Park,Pune,Pune,Maharashtra,India,464106,18.549718,73.851042,00612539111,usen@ramanathan-goel.com,www.kashyap.net,Obstetrics & Gynecology,General Medicine,670,Yes,No,Yes,Yes,Yes,No,8,No,Yes,No,No,No,Yes,No,2024-12-26,Passed,2026-07-19,Urban,No,No,No,0,67,33,
HOSP-0025,Sundaram Medical Center,Private,Network,MHMC-23318,INS-HOSP-4344,TPA-HOSP-383,XJIXP3604Y,H.No. 206 Krishnan Road,Ghose Circle,Siliguri,,New Delhi,New Delhi,Delhi,India,110058,28.524072,77.197363,+916771969980,urvi41@mahal-bakshi.com,www.bal.com,Obstetrics & Gynecology,Neurology,732,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,No,No,No,Yes,Yes,2025-02-01,Pending,2027-03-08,Rural,No,No,No,0,73,36,
HOSP-0026,Chauhan Hospital,Private,Non-Network,MHMC-51763,INS-HOSP-4235,TPA-HOSP-388,YPDRG7218G,84 Sarkar Path,Wadhwa Ganj,Bhopal,Opposite Park,New Delhi,New Delhi,Delhi,India,110067,28.547945,77.187087,03713665356,eva90@lala-shankar.org,www.bala.com,Obstetrics & Gynecology,,961,Yes,No,Yes,Yes,Yes,Yes,6,Yes,Yes,No,No,No,Yes,Yes,2024-12-11,Passed,2026-03-03,Rural,No,No,No,0,96,48,
HOSP-0027,Khalsa Medical Center,Private,Network,MHMC-51744,INS-HOSP-6205,TPA-HOSP-135,MHIDW3235I,H.No. 44 Bobal Ganj,Sinha Zila,Jamnagar,Behind Mall,Mysore,Mysore,Karnataka,India,586333,12.381183,76.652175,05142766519,tbrahmbhatt@sood-date.info,www.dave.com,Orthopedics,General Medicine,850,Yes,No,No,No,Yes,Yes,6,Yes,Yes,No,No,No,No,No,2024-11-02,Passed,2026-07-12,Rural,No,No,No,0,85,42,
HOSP-0028,Shere Hospital,Trust,Network,MHMC-28844,INS-HOSP-3999,TPA-HOSP-482,ANPYU1841N,15- Sachdev Nagar,Deshmukh Marg,Hyderabad,Behind Mall,Mumbai,Mumbai,Maharashtra,India,479288,19.140751,72.967209,02237616993,raghaviyer@karan.info,www.gill-batta.info,Cardiology,Orthopedics,543,Yes,Yes,Yes,Yes,Yes,No,14,Yes,Yes,No,Yes,No,Yes,No,2024-09-27,Passed,2026-11-15,Urban,No,No,No,0,54,27,
HOSP-0029,Bhalla Medical Center,Government,Network,MHMC-69004,INS-HOSP-1715,TPA-HOSP-973,IZBQA7708R,H.No. 627- Brar Marg,Rattan Marg,Patna,Opposite Park,Nagpur,Nagpur,Maharashtra,India,430328,21.169954,79.076982,05938598120,rajuhunar@sangha.info,www.bobal-venkatesh.net,General Surgery,General Medicine,119,No,Yes,Yes,Yes,Yes,Yes,6,Yes,No,No,No,No,No,No,2025-04-06,Passed,2028-07-19,Urban,No,No,No,0,11,5,
HOSP-0030,Sen Medical Center,Private,Network,MHMC-12597,INS-HOSP-7263,TPA-HOSP-331,YZHDQ5980B,24- Ramakrishnan,Sethi Zila,Ambala,Opposite Park,Nagpur,Nagpur,Maharashtra,India,445866,21.055373,79.087788,00104979812,yuvraj-rajagopal@madan.net,www.kalla-verma.com,Obstetrics & Gynecology,Pediatrics,499,Yes,Yes,Yes,Yes,Yes,No,10,Yes,Yes,No,No,No,Yes,No,2025-02-14,Passed,2026-08-18,Urban,No,No,No,0,49,24,
HOSP-0031,Venkataraman Care,Private,Non-Network,MHMC-68340,INS-HOSP-6437,TPA-HOSP-814,JJSJU6416T,H.No. 158- Manda Nagar,Dara,Khandwa,Near Metro Station,Howrah,Howrah,West Bengal,India,731450,22.538246,88.248633,+915307729460,divyansh39@biswas-hora.com,www.bhandari-varty.net,Orthopedics,General Surgery,126,Yes,No,Yes,Yes,Yes,Yes,17,No,No,Yes,No,No,Yes,No,2024-09-15,Passed,2028-03-19,Urban,No,No,No,0,12,6,
HOSP-0032,Agrawal Medical Center,Private,Network,MHMC-77913,INS-HOSP-8205,TPA-HOSP-202,EEIWZ4321T,H.No. 89- Khurana Path,Krish Nagar,Tumkur,Near Metro Station,New Delhi,New Delhi,Delhi,India,110071,28.605093,77.154391,7738654681,indranilsundaram@bhandari-talwar.com,www.tiwari.biz,General Surgery,Cardiology,522,Yes,Yes,Yes,Yes,Yes,No,8,No,No,No,No,No,No,No,2024-09-17,Pending,2028-05-06,Urban,No,No,No,0,52,26,
HOSP-0033,Magar Care,Private,Non-Network,MHMC-31561,INS-HOSP-3988,TPA-HOSP-851,FTCJM6549K,41/86 Sarin Street,Malhotra Street,Surat,Opposite Park,Pune,Pune,Maharashtra,India,460244,18.487034,73.858847,4165921340,hwalia@kapoor.com,www.goda.info,General Surgery,,536,Yes,Yes,Yes,Yes,Yes,Yes,5,No,No,No,No,Yes,Yes,Yes,2025-07-02,Passed,2028-06-16,Urban,No,No,No,0,53,26,
HOSP-0034,Dayal Care,Government,Network,MHMC-84743,INS-HOSP-5450,TPA-HOSP-819,MJIIC8898R,H.No. 92- Kata Road,Bandi Chowk,Gopalpur,Opposite Park,Bangalore,Bangalore,Karnataka,India,581868,12.800895,77.597667,+910260934690,chackomehul@kapadia-chana.com,www.arora.com,Obstetrics & Gynecology,Oncology,144,Yes,No,Yes,Yes,Yes,Yes,4,No,Yes,No,No,No,Yes,No,2025-05-15,Passed,2028-02-22,Urban,No,No,No,0,14,7,
HOSP-0035,Saini Medical Center,Private,Network,MHMC-87156,INS-HOSP-3285,TPA-HOSP-844,SRIPY2701I,H.No. 251 Mahal,Dyal Chowk,Ahmedabad,Near Metro Station,New Delhi,New Delhi,Delhi,India,110091,28.532386,77.128458,05498882846,mbadal@gulati.com,www.kibe.org,Obstetrics & Gynecology,,490,No,Yes,No,Yes,Yes,No,15,No,No,No,Yes,No,No,No,2024-08-22,Pending,2026-12-20,Urban,No,No,No,0,49,24,
HOSP-0036,Kaur Medical Center,Charitable,Network,MHMC-78630,INS-HOSP-5443,TPA-HOSP-724,PYQVZ4981B,22/61 Bala Marg,Dash,Ghaziabad,Opposite Park,Nagpur,Nagpur,Maharashtra,India,458894,21.084707,79.188263,2310118301,ktoor@sarraf-badami.com,www.buch.com,Cardiology,Pediatrics,699,Yes,Yes,Yes,Yes,Yes,No,3,Yes,Yes,No,Yes,No,No,No,2024-10-03,Passed,2026-11-18,Urban,No,No,No,0,69,34,
HOSP-0037,Sarin Care,Private,Network,MHMC-67393,INS-HOSP-9969,TPA-HOSP-582,ZJUUQ7972D,41/441 Dugar Road,Ganesan Path,Ichalkaranji,Near Metro Station,New Delhi,New Delhi,Delhi,India,110075,28.682145,77.298018,+913472477603,bsani@shanker-babu.org,www.luthra-vyas.net,Oncology,General Surgery,452,Yes,Yes,Yes,Yes,Yes,Yes,12,Yes,No,No,No,No,No,Yes,2025-05-29,Passed,2027-01-18,Urban,No,Yes,No,0,45,22,
HOSP-0038,Hegde Hospital,Private,Non-Network,MHMC-90186,INS-HOSP-9890,TPA-HOSP-890,LTLIG8744T,H.No. 61 Saini Marg,Mangal Chowk,Deoghar,,Nagpur,Nagpur,Maharashtra,India,407827,21.134237,79.135134,03516582117,krish27@sarna-kulkarni.com,www.mani.org,Pediatrics,Oncology,860,Yes,No,Yes,Yes,Yes,No,19,Yes,Yes,No,Yes,No,Yes,No,2024-11-27,Passed,2028-04-20,Rural,No,No,No,0,86,43,
HOSP-0039,Khare Medical Center,Private,Network,MHMC-37186,INS-HOSP-4632,TPA-HOSP-577,TOPJV4118Y,740 Kala,Sachdeva Zila,Ongole,Opposite Park,Kolkata,Kolkata,West Bengal,India,704800,22.585481,88.455226,06035006444,aradhya46@bail-bath.net,www.sule.com,Obstetrics & Gynecology,Oncology,583,Yes,No,Yes,Yes,Yes,No,13,No,Yes,Yes,Yes,No,No,Yes,2024-12-31,Passed,2026-04-16,Urban,No,No,No,0,58,29,
HOSP-0040,Sachar Care,Private,Non-Network,MHMC-17220,INS-HOSP-2482,TPA-HOSP-103,MHBCW4104A,984- Sethi Nagar,Dhawan Chowk,Ramgarh,Behind Mall,Pune,Pune,Maharashtra,India,424293,18.471348,73.829011,09720685945,wdada@hari.info,www.keer-datta.org,Obstetrics & Gynecology,,836,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,No,No,Yes,Yes,Yes,2024-10-01,Passed,2026-07-27,Rural,No,No,No,0,83,41,
HOSP-0041,Korpal Hospital,Private,Non-Network,MHMC-35853,INS-HOSP-9305,TPA-HOSP-864,LRLFS2337W,H.No. 372- Konda Street,Chaudhari,Jalgaon,Near Metro Station,Bangalore,Bangalore,Karnataka,India,564646,13.057627,77.695671,+911508104122,badalaniruddh@tandon.com,www.loke.biz,Cardiology,Obstetrics & Gynecology,552,No,Yes,Yes,No,Yes,Yes,3,No,Yes,No,No,No,Yes,Yes,2024-10-21,Passed,2027-09-11,Rural,No,Yes,No,0,55,27,
HOSP-0042,Chawla Medical Center,Government,Network,MHMC-17463,INS-HOSP-4589,TPA-HOSP-936,FGMEC3837W,66/51 Dutt Nagar,Chatterjee Chowk,Tinsukia,,New Delhi,New Delhi,Delhi,India,110070,28.545757,77.282162,03634298361,msahota@khurana.org,www.kumer.com,General Medicine,General Surgery,854,Yes,Yes,Yes,Yes,Yes,Yes,15,No,No,No,Yes,Yes,No,No,2024-11-03,Passed,2028-03-17,Urban,No,No,No,0,85,42,
HOSP-0043,Ramachandran Hospital,Private,Network,MHMC-85233,INS-HOSP-2209,TPA-HOSP-520,QSPSJ0403T,47- Yogi Marg,Brahmbhatt Path,Panipat,Opposite Park,Mysore,Mysore,Karnataka,India,574063,12.397162,76.620447,0727711934,ivan68@edwin.com,www.issac-das.com,Obstetrics & Gynecology,Pediatrics,634,No,Yes,Yes,Yes,Yes,Yes,19,No,Yes,Yes,Yes,No,No,Yes,2025-07-02,Passed,2027-06-21,Rural,No,Yes,No,0,63,31,
HOSP-0044,Thakkar Medical Center,Trust,Network,MHMC-10718,INS-HOSP-7550,TPA-HOSP-559,DNHYR6397S,H.No. 89- Bava Marg,Bhavsar Street,Tadepalligudem,Near Metro Station,New Delhi,New Delhi,Delhi,India,110059,28.679216,77.148709,09018770398,jsule@vyas.com,www.jani-jayaraman.com,Orthopedics,Obstetrics & Gynecology,135,Yes,Yes,Yes,Yes,Yes,Yes,4,No,Yes,No,No,Yes,Yes,No,2024-11-18,Passed,2026-02-22,Urban,No,No,No,0,13,6,
HOSP-0045,Srinivas Hospital,Government,Network,MHMC-19129,INS-HOSP-9500,TPA-HOSP-487,MQHVZ9060Z,554- Ranganathan,Madan Chowk,Mehsana,Opposite Park,Howrah,Howrah,West Bengal,India,750887,22.584358,88.248408,+917278621284,badalde@aurora.org,www.sunder-shroff.com,Cardiology,Neurology,684,No,Yes,No,No,Yes,No,13,No,No,No,Yes,No,No,Yes,2025-07-06,Passed,2027-10-21,Urban,No,No,No,0,68,34,
HOSP-0046,Sangha Care,Government,Network,MHMC-42363,INS-HOSP-2347,TPA-HOSP-734,HXGGW6831G,20 Garg Marg,Chada Street,Allahabad,Near Metro Station,Bangalore,Bangalore,Karnataka,India,573704,13.053698,77.693084,01944001553,jraju@kalla-vora.com,www.bal.com,Orthopedics,Cardiology,571,Yes,Yes,Yes,Yes,Yes,Yes,4,Yes,No,No,No,Yes,Yes,Yes,2024-12-25,Pending,2026-03-19,Urban,No,No,No,0,57,28,
HOSP-0047,Dar Hospital,Private,Network,MHMC-43855,INS-HOSP-2966,TPA-HOSP-851,XRJBP6945V,54/515- Sawhney,Sani Zila,Hazaribagh,Opposite Park,Mysore,Mysore,Karnataka,India,577183,12.210971,76.621569,4413404226,dbhatnagar@bawa-sem.com,www.banik.com,Oncology,Obstetrics & Gynecology,662,Yes,No,No,Yes,Yes,Yes,9,Yes,No,Yes,Yes,No,No,No,2024-10-20,Passed,2026-07-11,Rural,No,No,No,0,66,33,
HOSP-0048,Lala Care,Private,Non-Network,MHMC-19583,INS-HOSP-3175,TPA-HOSP-782,ZZCWK0617T,H.No. 782 Dass,Edwin Circle,Chittoor,,Bangalore,Bangalore,Karnataka,India,587800,12.96042,77.545303,1558683329,pranay77@sabharwal.net,www.wagle.com,Obstetrics & Gynecology,General Medicine,932,Yes,Yes,Yes,Yes,Yes,Yes,14,Yes,No,No,No,No,Yes,Yes,2024-09-08,Passed,2027-08-13,Urban,No,No,No,0,93,46,
HOSP-0049,Bhatt Care,Private,Network,MHMC-64073,INS-HOSP-1402,TPA-HOSP-817,WWYXP8370O,H.No. 40- Banik Road,Varma Zila,Lucknow,Opposite Park,Coimbatore,Coimbatore,Tamil Nadu,India,664916,11.01055,77.062326,+918064618302,samairadin@swaminathan.info,www.chaudhary.biz,Neurology,,830,Yes,No,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,No,2025-02-03,Passed,2028-07-07,Urban,No,No,No,0,83,41,
HOSP-0050,Deol Care,Private,Non-Network,MHMC-10392,INS-HOSP-8991,TPA-HOSP-185,GWFZC3972D,03/21- Ahluwalia Nagar,Batra Path,Tumkur,Behind Mall,New Delhi,New Delhi,Delhi,India,110051,28.591052,77.181704,08741072544,psant@toor-walla.com,www.thaman.org,Orthopedics,Pediatrics,35,Yes,Yes,Yes,Yes,No,No,12,No,No,No,No,Yes,Yes,Yes,2024-08-19,Passed,2027-10-11,Urban,No,No,No,0,3,1,
