policy_number,member_id
POL-39272,MEMBER-003174
POL-39272,MEMBER-011448
POL-43802,MEMBER-014127
POL-43802,MEMBER-013833
POL-43802,MEMBER-006726
POL-45370,MEMBER-010112
POL-45370,MEMBER-005937
POL-45370,MEMBER-007197
POL-42082,MEMBER-011020
POL-20714,MEMBER-008559
POL-20714,MEMBER-005689
POL-20714,MEMBER-006052
POL-44832,MEMBER-007683
POL-44832,MEMBER-003638
POL-44832,MEMBER-001598
POL-44832,MEMBER-014458
POL-44832,MEMBER-007865
POL-35486,MEMBER-000900
POL-35486,MEMBER-012757
POL-48359,MEMBER-001018
POL-48359,MEMBER-001369
POL-48359,MEMBER-010346
POL-48359,MEMBER-007986
POL-46747,MEMBER-011293
POL-46747,MEMBER-008694
POL-20002,MEMBER-013382
POL-22703,MEMBER-013306
POL-22703,MEMBER-013570
POL-22703,MEMBER-009449
POL-22703,MEMBER-004590
POL-22703,MEMBER-003488
POL-48818,MEMBER-010072
POL-48818,MEMBER-011176
POL-48818,MEMBER-002745
POL-48818,MEMBER-005673
POL-36090,MEMBER-011912
POL-36090,MEMBER-012723
POL-36090,MEMBER-008031
POL-44220,MEMBER-006981
POL-44220,MEMBER-002530
POL-44220,MEMBER-009863
POL-44220,MEMBER-009080
POL-44220,MEMBER-013842
POL-10817,MEMBER-011695
POL-10817,MEMBER-002538
POL-10817,MEMBER-004163
POL-10817,MEMBER-004302
POL-13543,MEMBER-007251
POL-13543,MEMBER-013912
POL-13543,MEMBER-013628
POL-13543,MEMBER-008554
POL-13543,MEMBER-014149
POL-20570,MEMBER-007538
POL-20570,MEMBER-005690
POL-20570,MEMBER-014980
POL-20570,MEMBER-003259
POL-40591,MEMBER-011970
POL-40591,MEMBER-002917
POL-21635,MEMBER-007401
POL-42469,MEMBER-013592
POL-19843,MEMBER-009637
POL-19843,MEMBER-009811
POL-48232,MEMBER-009707
POL-48232,MEMBER-000150
POL-19736,MEMBER-004384
POL-19736,MEMBER-001568
POL-19736,MEMBER-011204
POL-20035,MEMBER-011506
POL-20035,MEMBER-002366
POL-36893,MEMBER-006657
POL-36893,MEMBER-006029
POL-40691,MEMBER-000384
POL-32817,MEMBER-011182
POL-25327,MEMBER-012663
POL-25327,MEMBER-011192
POL-25327,MEMBER-011506
POL-43952,MEMBER-013137
POL-43952,MEMBER-001755
POL-36432,MEMBER-001890
POL-36432,MEMBER-013463
POL-10124,MEMBER-002891
POL-10124,MEMBER-012848
POL-10124,MEMBER-008568
POL-10124,MEMBER-009192
POL-26675,MEMBER-010433
POL-26675,MEMBER-001443
POL-10352,MEMBER-014848
POL-27089,MEMBER-008074
POL-27089,MEMBER-002079
POL-27089,MEMBER-013094
POL-11485,MEMBER-003041
POL-11485,MEMBER-009957
POL-13537,MEMBER-010237
POL-13537,MEMBER-001607
POL-13537,MEMBER-002433
POL-36335,MEMBER-004374
POL-36335,MEMBER-014999
POL-36335,MEMBER-012465
POL-36335,MEMBER-013454
POL-42995,MEMBER-006022
POL-42995,MEMBER-011745
POL-42995,MEMBER-000598
POL-42995,MEMBER-005516
POL-32162,MEMBER-008795
POL-32162,MEMBER-010059
POL-32162,MEMBER-010289
POL-38019,MEMBER-009034
POL-42934,MEMBER-010761
POL-42934,MEMBER-004570
POL-32379,MEMBER-013866
POL-32379,MEMBER-012975
POL-32379,MEMBER-008828
POL-32379,MEMBER-009284
POL-14293,MEMBER-004271
POL-14293,MEMBER-014223
POL-23631,MEMBER-007531
POL-23631,MEMBER-001997
POL-23631,MEMBER-010345
POL-23631,MEMBER-007036
POL-23631,MEMBER-012317
POL-31705,MEMBER-008406
POL-31705,MEMBER-014486
POL-31705,MEMBER-014264
POL-31705,MEMBER-005431
POL-31705,MEMBER-003820
POL-32281,MEMBER-005406
POL-32281,MEMBER-006816
POL-38733,MEMBER-003645
POL-38733,MEMBER-012644
POL-34762,MEMBER-011303
POL-34762,MEMBER-009180
POL-34762,MEMBER-004037
POL-34762,MEMBER-009102
POL-13588,MEMBER-003548
POL-13588,MEMBER-002277
POL-13588,MEMBER-010842
POL-36006,MEMBER-011716
POL-36006,MEMBER-009808
POL-36006,MEMBER-009252
POL-27570,MEMBER-012844
POL-27570,MEMBER-007833
POL-27570,MEMBER-003804
POL-35528,MEMBER-009063
POL-37384,MEMBER-005556
POL-37384,MEMBER-013331
POL-37384,MEMBER-005607
POL-12281,MEMBER-001373
POL-41747,MEMBER-007859
POL-41747,MEMBER-009797
POL-41747,MEMBER-010077
POL-41747,MEMBER-001020
POL-41747,MEMBER-011039
POL-27566,MEMBER-010908
POL-27566,MEMBER-008637
POL-25213,MEMBER-001491
POL-25213,MEMBER-005447
POL-40449,MEMBER-000600
POL-40449,MEMBER-009261
POL-40449,MEMBER-004771
POL-40449,MEMBER-008811
POL-38667,MEMBER-005861
POL-38667,MEMBER-006964
POL-38667,MEMBER-006955
POL-38667,MEMBER-003989
POL-10816,MEMBER-004076
POL-10816,MEMBER-011707
POL-10816,MEMBER-007886
POL-37035,MEMBER-006662
POL-37035,MEMBER-010766
POL-37035,MEMBER-010061
POL-23314,MEMBER-012711
POL-23314,MEMBER-012165
POL-23314,MEMBER-009379
POL-23314,MEMBER-002163
POL-30172,MEMBER-008124
POL-30172,MEMBER-008725
POL-40354,MEMBER-000556
POL-10740,MEMBER-014325
POL-10740,MEMBER-011146
POL-30020,MEMBER-006522
POL-30020,MEMBER-013331
POL-30020,MEMBER-013118
POL-40407,MEMBER-000954
POL-40407,MEMBER-013707
POL-40407,MEMBER-006187
POL-40407,MEMBER-008637
POL-40407,MEMBER-005824
POL-17885,MEMBER-006937
POL-17885,MEMBER-005370
POL-17885,MEMBER-007376
POL-24730,MEMBER-006506
POL-24730,MEMBER-009430
POL-15933,MEMBER-000050
POL-15933,MEMBER-006581
POL-15933,MEMBER-003921
POL-15933,MEMBER-004209
POL-31010,MEMBER-011232
POL-31010,MEMBER-013366
POL-22526,MEMBER-010540
POL-22526,MEMBER-005432
POL-22526,MEMBER-012642
POL-22526,MEMBER-006897
POL-43189,MEMBER-001510
POL-43189,MEMBER-013436
POL-26270,MEMBER-010577
POL-26270,MEMBER-004812
POL-26270,MEMBER-007394
POL-26270,MEMBER-006918
POL-26270,MEMBER-011492
POL-19484,MEMBER-005804
POL-19484,MEMBER-011092
POL-27795,MEMBER-001210
POL-19016,MEMBER-010100
POL-19016,MEMBER-006028
POL-34735,MEMBER-004471
POL-34735,MEMBER-008571
POL-34735,MEMBER-002290
POL-13002,MEMBER-004989
POL-13002,MEMBER-001567
POL-17123,MEMBER-004436
POL-17123,MEMBER-001818
POL-17123,MEMBER-010379
POL-17123,MEMBER-001687
POL-17123,MEMBER-004337
POL-41749,MEMBER-005615
POL-41749,MEMBER-011074
POL-41749,MEMBER-005570
POL-21536,MEMBER-007263
POL-21536,MEMBER-002597
POL-28443,MEMBER-005404
POL-28443,MEMBER-002145
POL-28443,MEMBER-002001
POL-11200,MEMBER-008075
POL-11200,MEMBER-014273
POL-11200,MEMBER-000295
POL-11200,MEMBER-006165
POL-34716,MEMBER-004036
POL-34716,MEMBER-011693
POL-34716,MEMBER-014763
POL-34716,MEMBER-005097
POL-34716,MEMBER-005602
POL-44831,MEMBER-006798
POL-44831,MEMBER-007774
POL-37900,MEMBER-006940
POL-38876,MEMBER-000509
POL-38876,MEMBER-011440
POL-38876,MEMBER-011546
POL-38876,MEMBER-005531
POL-38876,MEMBER-007010
POL-13502,MEMBER-005873
POL-13502,MEMBER-003291
POL-13502,MEMBER-002960
POL-40509,MEMBER-004306
POL-40509,MEMBER-008419
POL-40509,MEMBER-004120
POL-40509,MEMBER-010088
POL-40509,MEMBER-014589
POL-14012,MEMBER-009984
POL-14012,MEMBER-006983
POL-14012,MEMBER-000900
POL-42457,MEMBER-014012
POL-40155,MEMBER-006970
POL-29582,MEMBER-004731
POL-29582,MEMBER-008634
POL-29582,MEMBER-000874
POL-27408,MEMBER-012982
POL-27408,MEMBER-000280
POL-38707,MEMBER-006180
POL-38707,MEMBER-013619
POL-38707,MEMBER-014463
POL-38707,MEMBER-000285
POL-13921,MEMBER-001099
POL-13921,MEMBER-008545
POL-12270,MEMBER-010302
POL-12270,MEMBER-012190
POL-12270,MEMBER-005085
POL-12270,MEMBER-003012
POL-12270,MEMBER-005896
POL-32731,MEMBER-010122
POL-32731,MEMBER-010867
POL-32731,MEMBER-011754
POL-24245,MEMBER-014941
POL-24245,MEMBER-006795
POL-24245,MEMBER-012962
POL-31393,MEMBER-002395
POL-31393,MEMBER-013942
POL-31393,MEMBER-002358
POL-31393,MEMBER-013154
POL-49714,MEMBER-014163
POL-49714,MEMBER-005127
POL-49714,MEMBER-011007
POL-49714,MEMBER-001618
POL-25561,MEMBER-002334
POL-40559,MEMBER-003693
POL-40559,MEMBER-006454
POL-19618,MEMBER-012250
POL-19618,MEMBER-002891
POL-19618,MEMBER-001919
POL-19618,MEMBER-003895
POL-10729,MEMBER-012161
POL-10729,MEMBER-002911
POL-10729,MEMBER-001704
POL-10729,MEMBER-010609
POL-44422,MEMBER-010589
POL-47231,MEMBER-000220
POL-47231,MEMBER-004435
POL-47231,MEMBER-001726
POL-23116,MEMBER-012962
POL-23116,MEMBER-000179
POL-23116,MEMBER-011177
POL-23116,MEMBER-003058
POL-23116,MEMBER-000026
POL-44501,MEMBER-010644
POL-44501,MEMBER-004883
POL-45981,MEMBER-012726
POL-45981,MEMBER-010598
POL-45981,MEMBER-001790
POL-45981,MEMBER-009073
POL-45981,MEMBER-003566
POL-32002,MEMBER-002196
POL-39036,MEMBER-007362
POL-39036,MEMBER-001831
POL-39036,MEMBER-002235
POL-21213,MEMBER-007180
POL-21213,MEMBER-008352
POL-27075,MEMBER-012213
POL-27075,MEMBER-012879
POL-27075,MEMBER-010249
POL-27075,MEMBER-001616
POL-12414,MEMBER-007587
POL-12414,MEMBER-013566
POL-12414,MEMBER-004651
POL-15806,MEMBER-008086
POL-15806,MEMBER-005992
POL-27047,MEMBER-001362
POL-27047,MEMBER-002175
POL-25075,MEMBER-009128
POL-25075,MEMBER-001163
POL-18773,MEMBER-003735
POL-18912,MEMBER-003498
POL-18912,MEMBER-010303
POL-18912,MEMBER-014825
POL-18912,MEMBER-005747
POL-18912,MEMBER-002700
POL-30406,MEMBER-011491
POL-13295,MEMBER-009309
POL-38306,MEMBER-005183
POL-38306,MEMBER-010588
POL-38306,MEMBER-007576
POL-38306,MEMBER-004851
POL-38306,MEMBER-011518
POL-35148,MEMBER-008038
POL-35148,MEMBER-006898
POL-35148,MEMBER-013335
POL-35148,MEMBER-007540
POL-23645,MEMBER-004372
POL-23645,MEMBER-012994
POL-45885,MEMBER-006195
POL-45885,MEMBER-013306
POL-44195,MEMBER-004747
POL-44195,MEMBER-007476
POL-44195,MEMBER-001956
POL-14736,MEMBER-006293
POL-14736,MEMBER-010252
POL-14736,MEMBER-000570
POL-14736,MEMBER-004731
POL-20513,MEMBER-005281
POL-20513,MEMBER-011767
POL-37421,MEMBER-008092
POL-37421,MEMBER-013936
POL-27986,MEMBER-013146
POL-19531,MEMBER-008262
POL-43349,MEMBER-003270
POL-43349,MEMBER-009849
POL-43349,MEMBER-007689
POL-42327,MEMBER-002927
POL-42327,MEMBER-003287
POL-42327,MEMBER-010443
POL-42327,MEMBER-000444
POL-42327,MEMBER-004564
POL-10583,MEMBER-007195
POL-10583,MEMBER-009210
POL-49034,MEMBER-002365
POL-49034,MEMBER-008897
POL-49034,MEMBER-001510
POL-49034,MEMBER-000360
POL-49034,MEMBER-008958
POL-18608,MEMBER-010247
POL-18608,MEMBER-001921
POL-18608,MEMBER-002070
POL-18608,MEMBER-014755
POL-18608,MEMBER-012551
POL-25680,MEMBER-005831
POL-25680,MEMBER-011559
POL-25680,MEMBER-000973
POL-28749,MEMBER-008261
POL-28749,MEMBER-005521
POL-16975,MEMBER-005416
POL-16975,MEMBER-001638
POL-30714,MEMBER-010284
POL-30714,MEMBER-013360
POL-30714,MEMBER-009374
POL-30714,MEMBER-009599
POL-32217,MEMBER-013386
POL-32217,MEMBER-010149
POL-32217,MEMBER-006601
POL-32217,MEMBER-006135
POL-36260,MEMBER-012790
POL-36260,MEMBER-012898
POL-36260,MEMBER-001386
POL-37711,MEMBER-001718
POL-33611,MEMBER-011922
POL-33611,MEMBER-014621
POL-41901,MEMBER-014421
POL-41901,MEMBER-006722
POL-41901,MEMBER-003762
POL-21789,MEMBER-000938
POL-21789,MEMBER-010535
POL-21789,MEMBER-003830
POL-21600,MEMBER-009852
POL-21600,MEMBER-011676
POL-21600,MEMBER-006264
POL-41063,MEMBER-000181
POL-41063,MEMBER-010568
POL-41063,MEMBER-001329
POL-41063,MEMBER-006363
POL-17791,MEMBER-009871
POL-17791,MEMBER-007805
POL-17791,MEMBER-003738
POL-17791,MEMBER-005699
POL-17791,MEMBER-013066
POL-31789,MEMBER-006051
POL-31789,MEMBER-003964
POL-23654,MEMBER-013803
POL-23654,MEMBER-001558
POL-23654,MEMBER-014009
POL-18329,MEMBER-005820
POL-44845,MEMBER-006871
POL-49608,MEMBER-013941
POL-49608,MEMBER-006641
POL-44759,MEMBER-011524
POL-44759,MEMBER-006631
POL-44759,MEMBER-011184
POL-44759,MEMBER-006690
POL-38643,MEMBER-009653
POL-20701,MEMBER-000934
POL-12388,MEMBER-004841
POL-21156,MEMBER-002837
POL-21156,MEMBER-001844
POL-34821,MEMBER-008533
POL-24568,MEMBER-005799
POL-24568,MEMBER-005414
POL-24568,MEMBER-003732
POL-24568,MEMBER-009420
POL-35112,MEMBER-007603
POL-35112,MEMBER-010770
POL-46117,MEMBER-010950
POL-32266,MEMBER-014205
POL-32266,MEMBER-010031
POL-32266,MEMBER-001325
POL-32266,MEMBER-004561
POL-19848,MEMBER-010053
POL-19848,MEMBER-010317
POL-23628,MEMBER-007514
POL-23628,MEMBER-000054
POL-23628,MEMBER-000594
POL-23628,MEMBER-011601
POL-44519,MEMBER-009633
POL-44519,MEMBER-004752
POL-44519,MEMBER-005524
POL-10612,MEMBER-010825
POL-10612,MEMBER-012442
POL-45632,MEMBER-011678
POL-41116,MEMBER-010347
POL-41116,MEMBER-012493
POL-41116,MEMBER-013006
POL-41116,MEMBER-014963
POL-31941,MEMBER-008855
POL-31941,MEMBER-001718
POL-28522,MEMBER-005953
POL-28522,MEMBER-009784
POL-44807,MEMBER-009649
POL-44807,MEMBER-001051
POL-44807,MEMBER-004806
POL-44807,MEMBER-005500
POL-44807,MEMBER-011473
POL-40008,MEMBER-000399
POL-40008,MEMBER-008858
POL-18399,MEMBER-001438
POL-18399,MEMBER-003448
POL-41385,MEMBER-007622
POL-41385,MEMBER-003533
POL-41385,MEMBER-003453
POL-41385,MEMBER-004209
POL-41385,MEMBER-008367
POL-39256,MEMBER-006491
POL-39256,MEMBER-006090
POL-39256,MEMBER-014009
POL-39256,MEMBER-009796
POL-39256,MEMBER-006121
POL-10576,MEMBER-014135
POL-10576,MEMBER-004985
POL-10576,MEMBER-009496
POL-10576,MEMBER-002155
POL-10576,MEMBER-007372
POL-31376,MEMBER-004368
POL-13959,MEMBER-002481
POL-16053,MEMBER-007778
POL-14285,MEMBER-013213
POL-14285,MEMBER-000570
POL-14285,MEMBER-001195
POL-14285,MEMBER-001656
POL-14285,MEMBER-003761
POL-16914,MEMBER-008458
POL-16914,MEMBER-004055
POL-16914,MEMBER-001610
POL-16914,MEMBER-010602
POL-16914,MEMBER-004482
POL-47503,MEMBER-008852
POL-47503,MEMBER-008226
POL-47503,MEMBER-007352
POL-47503,MEMBER-008122
POL-47503,MEMBER-002919
POL-49286,MEMBER-008453
POL-49286,MEMBER-012662
POL-49286,MEMBER-014381
POL-49286,MEMBER-000882
POL-17737,MEMBER-012096
POL-17737,MEMBER-011479
POL-17737,MEMBER-013073
POL-46977,MEMBER-011248
POL-29840,MEMBER-011008
POL-12975,MEMBER-010966
POL-12975,MEMBER-010234
POL-48056,MEMBER-003256
POL-48056,MEMBER-010783
POL-48056,MEMBER-000151
POL-48056,MEMBER-003222
POL-32998,MEMBER-008437
POL-32998,MEMBER-010434
POL-32998,MEMBER-000938
POL-32998,MEMBER-014032
POL-19544,MEMBER-012345
POL-19544,MEMBER-003677
POL-19544,MEMBER-006019
POL-17306,MEMBER-013193
POL-17306,MEMBER-004270
POL-38686,MEMBER-002865
POL-38686,MEMBER-003744
POL-38686,MEMBER-010342
POL-38686,MEMBER-006576
POL-18133,MEMBER-012846
POL-18133,MEMBER-007267
POL-15469,MEMBER-009665
POL-15469,MEMBER-011990
POL-15469,MEMBER-001846
POL-10096,MEMBER-012246
POL-10096,MEMBER-003254
POL-20594,MEMBER-004048
POL-20594,MEMBER-006402
POL-20594,MEMBER-006695
POL-29561,MEMBER-011928
POL-48098,MEMBER-014462
POL-48098,MEMBER-010738
POL-48098,MEMBER-010972
POL-48098,MEMBER-011912
POL-48098,MEMBER-003998
POL-45768,MEMBER-013472
POL-45768,MEMBER-012401
POL-45768,MEMBER-012521
POL-44315,MEMBER-010275
POL-44315,MEMBER-009740
POL-44315,MEMBER-009654
POL-44315,MEMBER-012565
POL-39977,MEMBER-007095
POL-21325,MEMBER-013894
POL-41322,MEMBER-014752
POL-41322,MEMBER-002244
POL-41322,MEMBER-010605
POL-41322,MEMBER-005628
POL-41322,MEMBER-003904
POL-36964,MEMBER-010406
POL-13267,MEMBER-009824
POL-13267,MEMBER-012462
POL-39965,MEMBER-005790
POL-39965,MEMBER-001188
POL-44324,MEMBER-013559
POL-44324,MEMBER-005935
POL-44324,MEMBER-010023
POL-44324,MEMBER-010361
POL-44324,MEMBER-006479
POL-45349,MEMBER-007184
POL-45349,MEMBER-006054
POL-45349,MEMBER-008926
POL-45349,MEMBER-009544
POL-45349,MEMBER-003126
POL-26978,MEMBER-002105
POL-26609,MEMBER-005692
POL-26609,MEMBER-004784
POL-26609,MEMBER-003114
POL-33582,MEMBER-004340
POL-33582,MEMBER-012749
POL-33582,MEMBER-001910
POL-33582,MEMBER-003455
POL-10500,MEMBER-002361
POL-11998,MEMBER-010257
POL-11998,MEMBER-012448
POL-11998,MEMBER-011829
POL-11998,MEMBER-008131
POL-47427,MEMBER-013947
POL-47427,MEMBER-008663
POL-47427,MEMBER-004686
POL-47427,MEMBER-013346
POL-47427,MEMBER-011601
POL-16552,MEMBER-013715
POL-16552,MEMBER-014457
POL-34979,MEMBER-005012
POL-34979,MEMBER-007533
POL-34979,MEMBER-009036
POL-45518,MEMBER-009435
POL-45518,MEMBER-005574
POL-45518,MEMBER-006962
POL-45518,MEMBER-008215
POL-45518,MEMBER-014117
POL-17659,MEMBER-006066
POL-26709,MEMBER-007265
POL-26709,MEMBER-001974
POL-26709,MEMBER-009711
POL-26709,MEMBER-000200
POL-26709,MEMBER-003105
POL-27790,MEMBER-003883
POL-18463,MEMBER-013788
POL-18463,MEMBER-000190
POL-44440,MEMBER-009474
POL-44145,MEMBER-011097
POL-46127,MEMBER-004980
POL-46127,MEMBER-005667
POL-46127,MEMBER-013602
POL-46127,MEMBER-008382
POL-18569,MEMBER-005410
